date,age,word,flag
20150801,84,"呂福祿","nr"
20150801,39,"王俐","nr"
20150801,32,"吳姓","nr"
20150801,20,"曾宇謙","nr"
20150801,15,"小提琴家","n"
20150801,15,"小提琴家","n"
20150801,16,"美國","ns"
20150801,18,"青少年","nr"
20150801,13,"兒子","n"
20150801,1,"女兒","n"
20150801,1,"女兒","n"
20150801,7,"女兒","n"
20150801,9,"父親","n"
20150801,106,"宋發棟","nr"
20150801,25,"上兵","n"
20150801,76,"金馬","n"
20150801,30,"荷登","nrt"
20150801,53,"母親","n"
20150801,34,"陸軍","n"
20150801,9,"父親","n"
20150801,78,"李姓","nrfg"
20150801,65,"男子","n"
20150801,89,"老嫗","n"
20150801,80,"民眾","n"
20150801,28,"詹可渝","nr"
20150801,84,"呂福祿","nr"
20150801,78,"李姓","nrfg"
20150801,39,"莎莉","nr"
20150801,34,"騎士","n"
20150801,25,"馬姓志","nr"
20150801,20,"綱學","n"
20150801,20,"歲者","n"
20150801,95,"阿公","nr"
20150801,95,"陳朝聰","nr"
20150801,95,"陳朝聰","nr"
20150801,95,"陳朝聰","nr"
20150801,34,"機車","n"
20150801,55,"帕莫","nr"
20150801,30,"薛軒","nr"
20150801,20,"林冠","nr"
20150801,72,"李道義","nr"
20150801,12,"許立緯","nr"
20150801,29,"媒體","n"
20150801,90,"奶奶","n"
20150801,42,"魔女","n"
20150801,14,"女兒","n"
20150801,32,"男士","n"
20150801,3,"黑人","n"
20150801,39,"小孩","n"
20150801,5,"時","ng"
20150801,10,"男童","n"
20150801,49,"官姓","n"
20150801,20,"歲者","n"
20150801,65,"男子","n"
20150801,89,"老嫗","n"
20150801,1,"女孩","n"
20150801,1,"小雪","n"
20150801,34,"陸軍","n"
20150801,23,"下士","n"
20150801,59,"陳塗水","nr"
20150801,1,"幼兒","n"
20150801,4,"孩子","n"
20150801,1,"嬰兒","n"
20150801,63,"吳聲祥","nr"
20150801,40,"陳姓","nr"
20150801,1,"小女孩","n"
20150801,34,"機車","n"
20150801,60,"吳媽媽","nr"
20150801,32,"男子","n"
20150801,19,"時","ng"
20150801,20,"林冠","nr"
20150801,18,"大學","n"
20150801,12,"小女孩","n"
20150801,12,"小女生","nr"
20150801,12,"小女孩","n"
20150801,6,"女童","n"
20150801,39,"莎莉","nr"
20150801,17,"工作","vn"
20150801,29,"媒體","n"
20150801,90,"奶奶","n"
20150801,42,"魔女","n"
20150801,14,"女兒","n"
20150801,32,"男士","n"
20150801,34,"機車","n"
20150801,37,"邱","nr"
20150801,22,"國立","n"
20150801,16,"台美","ns"
20150801,4,"姊姊","n"
20150801,16,"賈凱","nr"
20150801,12,"小女生","nr"
20150801,10,"代數","n"
20150801,36,"名山","n"
20150801,48,"安非他命","nz"
20150801,18,"大學","n"
20150801,52,"設計","vn"
20150801,44,"古巴","ns"
20150801,66,"章姓","n"
20150801,17,"蕭姓","nr"
20150801,25,"兵學弟","n"
20150801,24,"鑫","nr"
20150801,28,"亞柏老","nr"
20150801,17,"小將胡","nr"
20150801,15,"泰山","ns"
20150801,39,"凍齡","n"
20150801,21,"新秀","nz"
20150801,24,"張凱貞","nr"
20150801,39,"女星","n"
20150801,3,"香港","ns"
20150801,46,"金曲","n"
20150801,60,"大壽","n"
20150801,19,"坦言","n"
20150801,40,"吳姓","nr"
20150801,40,"吳姓","nr"
20150801,106,"宋發棟","nr"
20150801,27,"陳姿予","nr"
20150801,22,"女孩","n"
20150801,22,"李柔","nr"
20150801,19,"妹妹","n"
20150801,52,"設計","vn"
20150801,18,"大學","n"
20150801,2,"蔡姓","nr"
20150801,24,"陳姓","nr"
20150801,68,"酆","nr"
20150801,54,"美國","ns"
20150801,40,"吳姓","nr"
20150801,14,"成員","n"
20150801,58,"李姓","nrfg"
20150801,39,"王姓","n"
20150801,24,"鑫","nr"
20150801,15,"布瓦","nrt"
20150801,14,"犢","ng"
20150801,36,"單","n"
20150801,43,"古巴","ns"
20150801,45,"德甲","ns"
20150801,14,"粉絲","n"
20150801,17,"李姓","nrfg"
20150801,26,"周姓","n"
20150801,3,"因腸","n"
20150801,72,"郭伯雄","nr"
20150801,32,"男子","n"
20150801,32,"賈","nr"
20150801,21,"疾病","n"
20150801,60,"比例","n"
20150801,34,"媽","n"
20150801,34,"李亮瑾","nr"
20150801,30,"卡位","n"
20150801,60,"比例","n"
20150801,43,"朱茵","nr"
20150801,24,"男子","n"
20150801,24,"男子","n"
20150801,22,"身材","n"
20150801,20,"陳","nr"
20150801,25,"慈善","nr"
20150801,42,"英國","ns"
20150801,29,"菲莉","nrt"
20150801,13,"女友","n"
20150801,1,"女兒","n"
20150801,17,"李姓","nrfg"
20150801,23,"蘇男","nr"
20150801,52,"楊姓","n"
20150801,12,"孩子","n"
20150801,12,"孩子","n"
20150801,15,"鐵人","n"
20150801,14,"美國","ns"
20150801,2,"蔡姓","nr"
20150801,19,"青少年","nr"
20150801,20,"女性","n"
20150801,54,"陳敏爾","nr"
20150801,54,"河北省","ns"
20150801,23,"法國","ns"
20150801,21,"陳冠丞","nrfg"
20150801,5,"兒子","n"
20150801,3,"因腸","n"
20150801,30,"吳麗英","nr"
20150801,19,"有性","n"
20150801,12,"女","n"
20150801,15,"鐵人","n"
20150801,14,"林家","n"
20150801,28,"印尼","ns"
20150801,18,"同學","n"
20150801,9,"女兒","n"
20150801,13,"演員","n"
20150801,36,"前科","n"
20150801,59,"蔡姓","nr"
20150801,14,"犢","ng"
20150801,14,"齡","ng"
20150801,17,"學生","n"
20150801,53,"桌球","n"
20150801,52,"黃","n"
20150801,61,"徐傳順","nr"
20150801,23,"蘇姓","ns"
20150801,17,"李姓","nrfg"
20150801,32,"日本","ns"
20150801,29,"同門","n"
20150801,1,"嬰兒","n"
20150801,1,"嬰兒","n"
20150801,88,"夏政安","nr"
20150801,20,"弟弟","n"
20150801,30,"正妹","n"
20150801,50,"藝人","n"
20150801,19,"有性","n"
20150801,18,"學學","n"
20150801,18,"成員","n"
20150801,57,"鄧姓","nr"
20150801,53,"李姓","nrfg"
20150801,27,"澳洲","ns"
20150801,14,"犢","ng"
20150801,14,"齡","ng"
20150801,60,"陳姓婦","nr"
20150801,16,"陳姓","nr"
20150801,18,"學學","n"
20150801,18,"成員","n"
20150801,22,"王姓","n"
20150801,106,"人瑞","nz"
20150801,44,"鄭裕曦","nr"
20150801,69,"吳德明","nr"
20150801,37,"女兒","n"
20150801,1,"後","nr"
20150801,6,"癲癇","n"
20150801,22,"王姓","n"
20150801,8,"小弟弟","nr"
20150801,3,"女兒","n"
20150801,15,"高中生","nr"
20150801,69,"黃姓","n"
20150801,14,"林家","n"
20150801,14,"參賽","n"
20150801,14,"楷文","n"
20150801,18,"學生","n"
20150801,18,"學生","n"
20150801,18,"學生","n"
20150801,18,"學生","n"
20150801,88,"夏政安","nr"
20150801,74,"胡敏明","nr"
20150801,18,"兄長","n"
20150801,22,"同村","n"
20150801,20,"林冠","nr"
20150801,22,"日本","ns"
20150801,57,"糖尿病","n"
20150801,57,"糖尿病","n"
20150801,40,"賴女","n"
20150801,18,"學生","n"
20150801,18,"作區","n"
20150801,18,"教育部","n"
20150801,8,"肌肉","n"
20150801,9,"刮痧","vn"
20150801,10,"中藥","n"
20150801,7,"時驟","n"
20150801,2,"女兒","n"
20150801,28,"楊婉容","nr"
20150801,27,"美美","ns"
20150801,2,"蔡姓","nr"
20150801,60,"范某","nr"
20150801,6,"小偉","nr"
20150801,20,"空窗","n"
20150801,48,"歐","n"
20150801,46,"翁壽良","nr"
20150801,34,"吳美鳳","nr"
20150801,2,"男童","n"
20150801,2,"男童","n"
20150801,19,"青少年","nr"
20150801,19,"人口","n"
20150801,25,"林姓","nrfg"
20150801,34,"林姓","nrfg"
20150801,25,"林姓","nrfg"
20150801,20,"弟弟","n"
20150801,13,"師學","n"
20150801,17,"聲","n"
20150801,30,"冠軍","n"
20150801,50,"體力","n"
20150801,45,"歐陽","ns"
20150801,60,"林青霞","nr"
20150801,69,"吳德明","nr"
20150801,74,"胡敏明","nr"
20150801,18,"兄長","n"
20150801,22,"同村","n"
20150801,18,"分化","vn"
20150801,43,"港星","n"
20150801,32,"辣媽","n"
20150801,25,"身家","n"
20150801,14,"少女","n"
20150801,1,"人工","n"
20150801,2,"後","nr"
20150801,1,"手術","n"
20150801,12,"蔡傑","nr"
20150801,4,"庚","nr"
20150801,17,"寶弟","n"
20150801,24,"小樂","n"
20150801,28,"小杰","n"
20150801,18,"人音","n"
20150801,42,"高姓","n"
20150801,61,"丁先生","nr"
20150801,18,"學生","n"
20150801,18,"學生","n"
20150801,18,"學學","n"
20150801,18,"學生","n"
20150801,18,"學生","n"
20150801,34,"林姓","nrfg"
20150801,34,"林姓","nrfg"
20150801,3,"大兒子","n"
20150801,18,"時","ng"
20150801,55,"男子","n"
20150801,55,"鄭秋金","nr"
20150801,25,"學弟","n"
20150801,4,"小男孩","n"
20150801,1,"弟弟","n"
20150801,14,"哈拉","nrt"
20150801,85,"全樂","n"
20150801,15,"小琪","nr"
20150801,18,"分化","vn"
20150801,40,"男子","n"
20150801,52,"楊姓婦","nr"
20150801,18,"學生","n"
20150801,20,"情侶","n"
20150801,42,"韓星","nr"
20150801,13,"女星","n"
20150801,44,"船員","n"
20150801,60,"比例","n"
20150801,18,"學生","n"
20150801,26,"新手","n"
20150801,34,"蔡依林","nr"
20150801,40,"高齡","n"
20150801,3,"時","ng"
20150801,60,"莊姓","n"
20150801,18,"少女","n"
20150801,30,"女子","n"
20150801,38,"老將","n"
20150801,40,"黃姓","n"
20150801,40,"黃姓","n"
20150801,40,"林姓","nrfg"
20150801,28,"印尼","ns"
20150801,58,"葉","n"
20150801,18,"事針","n"
20150801,32,"吳姓","nr"
20150801,38,"中國","ns"
20150801,24,"張姓","nr"
20150801,35,"玩家","n"
20150801,45,"玩家","n"
20150801,40,"黃浴","nr"
20150801,40,"人","n"
20150801,13,"少女","n"
20150801,13,"少女","n"
20150801,35,"玩家","n"
20150801,45,"玩家","n"
20150801,13,"名牌","n"
20150801,27,"妻子","n"
20150801,3,"兒子","n"
20150801,13,"女星","n"
20150801,86,"徐福","nr"
20150801,82,"陳錦坤","nr"
20150801,84,"曾國渠","nr"
20150801,90,"范金","n"
20150801,99,"人瑞","nz"
20150801,31,"Sasha","eng"
20150801,30,"女子","n"
20150801,41,"黃姓","n"
20150801,41,"林姓","nrfg"
20150801,18,"學學生","n"
20150801,78,"新郎","n"
20150801,14,"新娘","n"
20150801,28,"印尼","ns"
20150801,21,"男子","n"
20150801,40,"黃姓","n"
20150801,18,"學學","n"
20150801,36,"吳佩慈","nr"
20150801,24,"嬰兒","n"
20150801,18,"學學","n"
20150801,69,"港星","n"
20150801,41,"羅家英","nr"
20150801,61,"汪明荃","nr"
20150801,29,"伍鐸","nr"
20150801,25,"林姓","nrfg"
20150801,18,"學生","n"
20150801,12,"院童","n"
20150801,12,"同心","n"
20150801,28,"徐姓","nrfg"
20150801,52,"台東","ns"
20150801,18,"學學","n"
20150801,22,"潘姓","nr"
20150801,18,"學學","n"
20150801,64,"譚姓","nr"
20150801,33,"林姓","nrfg"
20150801,46,"翁壽良","nr"
20150801,52,"楊大媽","nr"
20150801,13,"C","eng"
20150801,18,"學生","n"
20150801,3,"棒球","n"
20150801,32,"吳姓","nr"
20150801,15,"高雄","n"
20150801,12,"蔡傑","nr"
